,lat,long,alcaldia,target
33832,19.438702,-99.16802,CUAUHTEMOC,Si
33880,19.433739000000003,-99.15306,CUAUHTEMOC,Si
33929,19.416899,-99.143619,CUAUHTEMOC,Si
33949,19.43421,-99.14085,CUAUHTEMOC,Si
33958,19.445609,-99.148849,CUAUHTEMOC,Si
44253,19.4091,-99.141959,CUAUHTEMOC,Si
44271,19.44507,-99.14594,CUAUHTEMOC,Si
44327,19.454754,-99.138341,CUAUHTEMOC,Si
44371,19.422555,-99.133686,CUAUHTEMOC,Si
44458,19.427589,-99.153029,CUAUHTEMOC,Si
44474,19.442574,-99.142871,CUAUHTEMOC,Si
44482,19.411189999999998,-99.150549,CUAUHTEMOC,Si
44490,19.446460000000002,-99.13637,CUAUHTEMOC,Si
44560,19.417202,-99.146059,CUAUHTEMOC,Si
44572,19.43451,-99.14268,CUAUHTEMOC,Si
44581,19.443373,-99.147998,CUAUHTEMOC,Si
44617,19.42582,-99.12680999999999,CUAUHTEMOC,Si
44708,19.417720000000003,-99.14354,CUAUHTEMOC,Si
44777,19.41152,-99.17133000000001,CUAUHTEMOC,Si
44882,19.409906,-99.144271,CUAUHTEMOC,Si
44936,19.427960000000002,-99.17316,CUAUHTEMOC,Si
44956,19.43226,-99.13642,CUAUHTEMOC,Si
44992,19.4133,-99.13264000000001,CUAUHTEMOC,Si
45002,19.45983,-99.12217,CUAUHTEMOC,Si
45009,19.44471,-99.14371,CUAUHTEMOC,Si
45059,19.446460000000002,-99.13637,CUAUHTEMOC,Si
45075,19.428079999999998,-99.16089000000001,CUAUHTEMOC,Si
45128,19.415110000000002,-99.15463000000001,CUAUHTEMOC,Si
45270,19.443279999999998,-99.14132,CUAUHTEMOC,Si
45387,19.445451000000002,-99.14895200000001,CUAUHTEMOC,Si
45713,19.4322,-99.1422,CUAUHTEMOC,Si
45738,19.413164000000002,-99.13272099999999,CUAUHTEMOC,Si
45763,19.41626,-99.16963,CUAUHTEMOC,Si
45770,19.443620000000003,-99.13524,CUAUHTEMOC,Si
45907,19.402179999999998,-99.16966,CUAUHTEMOC,Si
45923,19.454929999999997,-99.13831,CUAUHTEMOC,Si
46013,19.413220000000003,-99.13481999999999,CUAUHTEMOC,Si
46084,19.408620000000003,-99.17645999999999,CUAUHTEMOC,Si
46208,19.41721,-99.16476999999999,CUAUHTEMOC,Si
46349,19.432489999999998,-99.15875,CUAUHTEMOC,Si
46404,19.40504,-99.17525,CUAUHTEMOC,Si
46470,19.4118,-99.15486999999999,CUAUHTEMOC,Si
46534,19.41263,-99.16127,CUAUHTEMOC,Si
46885,19.442141,-99.15097800000001,CUAUHTEMOC,Si
46909,19.43514,-99.1339,CUAUHTEMOC,Si
46913,19.445145999999998,-99.153576,CUAUHTEMOC,Si
46931,19.43378,-99.13832,CUAUHTEMOC,Si
47025,19.4311,-99.1466,CUAUHTEMOC,Si
47079,19.429245,-99.16190300000001,CUAUHTEMOC,Si
47083,19.43441,-99.15818,CUAUHTEMOC,Si
47115,19.422873000000003,-99.128366,CUAUHTEMOC,Si
47131,19.423783,-99.175488,CUAUHTEMOC,Si
47132,19.4456,-99.13265,CUAUHTEMOC,Si
47139,19.41919,-99.16959,CUAUHTEMOC,Si
47239,19.45701,-99.12817,CUAUHTEMOC,Si
47267,19.44495,-99.14514,CUAUHTEMOC,Si
47377,19.44785,-99.16249,CUAUHTEMOC,Si
47418,19.403579999999998,-99.1711,CUAUHTEMOC,Si
49501,19.446718,-99.144763,CUAUHTEMOC,Si
49549,19.441646,-99.14816400000001,CUAUHTEMOC,Si
49608,19.442304,-99.14095,CUAUHTEMOC,Si
49722,19.416453,-99.178046,CUAUHTEMOC,Si
49735,19.42221,-99.170202,CUAUHTEMOC,Si
49799,19.405877,-99.170692,CUAUHTEMOC,Si
49827,19.410308999999998,-99.162249,CUAUHTEMOC,Si
49860,19.407220000000002,-99.14378,CUAUHTEMOC,Si
49869,19.435223,-99.14724,CUAUHTEMOC,Si
49932,19.412147,-99.176467,CUAUHTEMOC,Si
49947,19.42604,-99.16879,CUAUHTEMOC,Si
50004,19.42614,-99.167919,CUAUHTEMOC,Si
50062,19.404398999999998,-99.12566,CUAUHTEMOC,Si
50092,19.423548999999998,-99.17407,CUAUHTEMOC,Si
50093,19.43514,-99.133899,CUAUHTEMOC,Si
50127,19.408784,-99.130076,CUAUHTEMOC,Si
50219,19.422976000000002,-99.12638299999999,CUAUHTEMOC,Si
50255,19.412649,-99.15581,CUAUHTEMOC,Si
50279,19.422219000000002,-99.16347900000001,CUAUHTEMOC,Si
50314,19.409059,-99.1635,CUAUHTEMOC,Si
50330,19.413164000000002,-99.13272099999999,CUAUHTEMOC,Si
50407,19.426807999999998,-99.172505,CUAUHTEMOC,Si
