evento,lat,lon,dia,hora
CHOQUE,19.37276,-99.18729,viernes,22
DERRAPADO,19.26526,-99.11154,viernes,19
CHOQUE,19.187417,-98.994122,sábado,6
CHOQUE,19.29247,-99.21658,sábado,10
CHOQUE,19.42582,-99.21379,sábado,13
DERRAPADO,19.37774,-99.07068,sábado,7
VOLCADURA,19.4485,-99.082397,sábado,18
ATROPELLADO,19.39403,-99.0434,domingo,18
ATROPELLADO,19.36368,-99.05097,domingo,22
CAIDA DE CICLISTA,19.47676,-99.131467,domingo,3
CHOQUE,19.25745,-99.07791,domingo,9
CHOQUE,19.37013,-99.18005,domingo,14
CHOQUE,19.47786,-99.18464,domingo,21
DERRAPADO,19.31261,-99.22698,domingo,13
DERRAPADO,19.36768,-99.15604,domingo,16
ATROPELLADO,19.452117,-99.129799,lunes,14
ATROPELLADO,19.28761,-99.13143,lunes,14
ATROPELLADO,19.49395,-99.18592,lunes,18
CHOQUE,19.45964,-99.162842,lunes,9
ATROPELLADO,19.43992,-99.19032,lunes,11
CHOQUE,19.50255,-99.1213,lunes,16
CHOQUE,19.36476,-99.15507,lunes,17
DERRAPADO,19.23294,-99.2304,lunes,2
DERRAPADO,19.45315,-99.13076,lunes,12
DERRAPADO,19.3819,-99.03074,lunes,19
CHOQUE,19.433397,-99.173987,martes,14
CHOQUE,19.367625,-99.0978,martes,6
CHOQUE,19.39457,-99.13173,martes,14
CHOQUE,19.471,-99.17587,martes,18
DERRAPADO,19.39243,-99.2391,martes,9
DERRAPADO,19.34843,-99.23013,martes,10
DERRAPADO,19.37355,-99.15433,martes,12
DERRAPADO,19.30041,-99.20889,martes,14
ATROPELLADO,19.335407,-99.141685,miércoles,15
CHOQUE,19.37614,-99.1916,miércoles,11
CHOQUE,19.29971,-99.0431,miércoles,13
CHOQUE,19.29682,-99.15695,miércoles,14
CHOQUE,19.3888,-99.14237,miércoles,19
DERRAPADO,19.28019,-99.1235,miércoles,9
ATROPELLADO,19.48368,-99.11138,jueves,15
CHOQUE,19.47999,-99.11895,jueves,7
CHOQUE,19.398776,-99.133462,jueves,9
CHOQUE,19.244429,-98.99803,jueves,14
CHOQUE,19.350765,-99.079531,jueves,15
CHOQUE,19.37953,-99.11379,jueves,16
CHOQUE,19.43643,-99.1748,jueves,17
CHOQUE,19.38026,-99.10154,jueves,20
CHOQUE,19.44267,-99.16255,jueves,21
DERRAPADO,19.40345,-99.13378,jueves,10
DERRAPADO,19.25537,-99.10515,jueves,13
ATROPELLADO,19.48515,-99.20868,viernes,8
ATROPELLADO,19.336776,-99.06204,viernes,20
CHOQUE,19.37198,-99.26542,viernes,6
CHOQUE,19.34589,-99.17385,viernes,11
CHOQUE,19.29227,-99.11491,viernes,14
CHOQUE,19.29749,-99.02948,viernes,17
CHOQUE,19.37763,-99.22333,viernes,18
DERRAPADO,19.40257,-99.12151,viernes,6
DERRAPADO,19.44105,-99.15849,viernes,20
DERRAPADO,19.46841,-99.17615,viernes,21
ATROPELLADO,19.506996,-99.155055,sábado,0
ATROPELLADO,19.42624,-99.12981,sábado,13
CHOQUE,19.35715,-99.14375,sábado,0
CHOQUE,19.438404,-99.157348,sábado,10
CHOQUE,19.309,-99.20459,sábado,11
CHOQUE,19.4101,-99.13924,sábado,14
CHOQUE,19.42616,-99.12884,sábado,16
CHOQUE,19.4355,-99.21221,sábado,17
CHOQUE,19.43726,-99.15066,sábado,19
DERRAPADO,19.43988,-99.13322,sábado,13
DERRAPADO,19.34859,-99.19066,sábado,14
DERRAPADO,19.44921,-99.09073,sábado,17
CHOQUE,19.335527,-99.074653,domingo,8
CHOQUE,19.45175,-99.14365,domingo,8
CHOQUE,19.403148,-99.128708,domingo,14
DERRAPADO,19.31812,-99.23871,domingo,18
VOLCADURA,19.44406,-99.13992,domingo,1
VOLCADURA,19.3826,-99.21598,domingo,22
ATROPELLADO,19.41417,-99.08723,lunes,12
CHOQUE,19.24754,-99.08836,lunes,8
CHOQUE,19.49078,-99.16872,lunes,11
CHOQUE,19.37569,-99.26156,lunes,12
CHOQUE,19.35504,-99.1524,lunes,14
CHOQUE,19.31424,-99.07066,lunes,16
CHOQUE,19.37089,-99.18831,lunes,17
DERRAPADO,19.486897,-99.144145,lunes,14
DERRAPADO,19.47962,-99.14535,lunes,17
DERRAPADO,19.43378,-99.13832,lunes,18
DERRAPADO,19.46729,-99.08016,lunes,20
DERRAPADO,19.32996,-99.21112,lunes,21
ATROPELLADO,19.29722,-99.0305,martes,11
ATROPELLADO,19.25148,-99.05963,martes,16
ATROPELLADO,19.3781,-99.22217,martes,17
